name,primary_liquor,flavor_profile,how_served,garnish,season_served,mood_pairing,occasion_pairing,directions_url
Old Fashioned,bourbon,sweet,on the rocks,orange twist and maraschino cherry,autumn and winter,casual or sophisticated,dinner with friends or date night,https://mrbostondrinks.com/recipes/old-fashioned-whiskey-cocktail
Manhattan,bourbon,bold,up,orange twist and maraschino cherry,autumn and winter,sophisticated,dinner party or date night,https://mrbostondrinks.com/recipes/manhattan
Vieux Carre,whisky,bold,on the rocks,lemon twist and maraschino cherry,autumn and winter,sophisticated,dinner party or date night,https://mrbostondrinks.com/recipes/vieux-carre
Dirty Martini,gin,"bold, salty",up,blue cheese olives,"winter, spring, summer, or autumn",sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/dirty-martini/
Vesper,gin,bold,up,lemon twist,"winter, spring, summer, or autumn",sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/vesper/
French 75,gin,"sweet, citrusy",up,lemon twist,"winter, spring, summer, or autumn",sophisticated,dinner party or date night,https://mrbostondrinks.com/recipes/french-75
French 77,gin,"sweet, citrusy",up,lemon twist,"winter, spring, summer, or autumn",sophisticated,dinner party or date night,https://www.cupofzest.com/french-77-cocktail/
Corpse Reviver 2,gin,"sweet, citrusy",up,lemon twist,spring and summer,casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/corpse-reviver-no-2/
Aviation,gin,"sweet, citrusy",up,lemon twist,"winter, spring, summer, or autumn",casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/aviation/
Last Word,gin,"sweet, citrusy",up,lime twist,"winter, spring, summer, or autumn",casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/the-last-word/
Penultimate Word,gin,"sweet, citrusy",up,lemon twist,"winter, spring, summer, or autumn",casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.cocktailbuilder.com/recipe/penultimate-word
Moscow Mule,vodka,sweet,on the rocks,lime wedge,spring and summer,casual,dinner with friends,https://www.liquor.com/recipes/moscow-mule-cocktail-recipe/
Kentucky Mule,bourbon,sweet,on the rocks,lime wedge,spring and summer,casual,dinner with friends,https://www.liquor.com/recipes/kentucky-mule/
Negroni,gin,bitter,on the rocks,orange twist,"winter, spring, summer, or autumn",casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/negroni/
Boulevardier,bourbon,bitter,on the rocks,orange twist,autumn and winter,casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/boulevardier/
Paper Plane,bourbon,citrusy,up,lemon twist,"winter, spring, summer, or autumn",casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/the-paper-plane/
Mai Tai,rum,"sweet, citrusy",on the rocks,pineapple,spring and summer,casual,dinner with friends,https://www.liquor.com/recipes/traditional-mai-tai/
Margarita,tequila,"sweet, citrusy, salty",on the rocks,lime slice,spring and summer,casual,dinner with friends,https://www.liquor.com/recipes/margarita/
Whisky Sour,whisky,"sweet, bitter, citrusy",up,lemon twist,autumn and winter,casual or sophisticated,dinner party or date night,https://www.liquor.com/recipes/whiskey-sour/
Sidecar,cognac,"bold, bitter",up,orange twist,autumn and winter,sophisticated,dinner party or date night,https://www.liquor.com/recipes/sidecar/
Sazerac,whisky,"bold, sweet",up,lemon twist,autumn and winter,sophisticated,dinner party or date night,https://www.liquor.com/recipes/sazerac/
Gimlet,gin,"bold, citrusy",up,lime slice,spring and summer,casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/gimlet/
Bees Knees,gin,"sweet, citrusy",up,lemon twist,spring and summer,casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.liquor.com/recipes/bees-knees/
Cosmopolitan,vodka,"sweet, bitter, citrusy",up,lemon twist,spring and summer,sophisticated,dinner party or date night,https://www.liquor.com/recipes/cosmopolitan/
Gin And Tonic,gin,"bold, citrusy",on the rocks,lime wedge,"winter, spring, summer, or autumn",casual,"dinner with friends, dinner party, date night, or weeknight",https://www.liquor.com/recipes/gin-and-tonic/
Espresso Martini,vodka,bold,up,coffee bean,"winter, spring, summer, or autumn",casual or sophisticated,"dinner with friends, dinner party, or date night",https://www.liquor.com/recipes/espresso-martini-2/
