Date,Symbol,Company,Price,Insider Name,Insider Position,Buy/Sell,Insider Trading Shares,Shares Change,Price.1,Price Change Since Insider Trade (%),Dividend Yield %
2018-12-31,ALXN,Alexion Pharmaceuticals Inc,182.5,HANTSON LUDWIG,CEO,S,182,-2.11,95.85,90.4,0.0
2018-12-31,CSR,Centerspace,101.38,TWINEM MARY J,Director,P,101,124.09,48.43,109.33,2.76
2018-12-31,AXAS,Abraxas Petroleum Corp,1.26,Clarke Tod A,Vice President - Land,P,1,7.08,1.06,18.87,0.0
2018-12-31,CSR,Centerspace,101.38,Dance Michael T,Director,P,101,20.54,47.32,114.24,2.76
2018-12-31,CSR,Centerspace,101.38,Dance Michael T,Director,P,101,20.54,47.32,114.24,2.76
2018-12-31,KFS,Kingsway Financial Services Inc,5.45,STILWELL JOSEPH,"Director, 10% Owner",P,5,12.52,2.57,112.06,0.0
2018-12-31,EVER,EverQuote Inc,14.99,Mason David W,General Counsel and Secretary,S,14,-3.72,4.23,254.37,0.0
2018-12-31,PGEN,Precigen Inc,3.76,Reed Thomas D.,Chief Science Officer,S,3,-29.21,6.36,-40.88,0.0
2018-12-31,EVER,EverQuote Inc,14.99,Markette Shimrit,"SVP, People Operations",S,14,-2.15,4.3,248.6,0.0
2018-12-31,SCD,Lmp Capital & Income Fund Inc,14.75,Murphy Terrence,CEO of Subadviser,S,14,-100.0,10.66,38.37,7.04
2018-12-31,PKTX,ProtoKinetix Inc,0.09,SMITH CLARENCE EDWARD,"President & CEO, 10% Owner",P,0,2.87,0.06,50.0,0.0
2018-12-31,HYB,New America High Income Fund Inc,9.76,TERRY ELLEN E,President,P,9,9.58,7.57,28.93,6.13
2018-12-31,GECC,Great Elm Capital Corp,3.47,"Mast Capital Management, LLC",10% Owner,S,3,-0.06,8.01,-56.68,13.44
2018-12-31,SODI,Solitron Devices Inc,10.0,Olesen Value Fund GP LLC,10% Owner,P,10,3.88,1.65,506.06,0.0
2018-12-31,FLMN,Falcon Minerals Corp,5.24,HITE Hedge Asset Management LL,10% Owner,P,5,0.0,7.36,-28.8,7.45
2018-12-31,MIME,Mimecast Ltd,83.2,Bauer Peter,CEO,S,83,-0.06,34.0,144.71,0.0
2018-12-31,SJM,JM Smucker Co,124.31,Lemmon David J,"President, Pet Food",S,124,-100.0,92.99,33.68,3.04
2018-12-31,MNIQQ,JCK Legacy Co,0.02506,"Chatham Asset Management, LLC",10% Owner,P,0,0.94,8.12,-99.69,0.0
2018-12-31,FWBI,First Wave BioPharma Inc,1.99,Ross Edmund Burke Jr.,10% Owner,P,1,1.42,1.35,47.41,0.0
2018-12-31,CVM,CEL-SCI Corp,10.98,ZIMMERMAN DANIEL H,Sr. Vice President,S,10,-2.31,2.93,274.74,0.0
2018-12-31,ISD,PGIM High Yield Fund Inc,16.26,Kellner Steven A.,Portfolio Manager,P,16,4.62,13.12,23.93,7.75
2018-12-31,EQGP,EQGP Holdings LP,19.97,Equitrans Midstream Corp,10% Owner,P,19,5.57,20.0,-0.15,5.62
2018-12-31,BGIO,BlackRock 2022 Global Income Opportunity,2.61,Rieder Richard M,Portfolio Manager,P,2,1.67,8.36,-68.78,22.99
2018-12-31,RPT,RPT Realty,13.66,SHAHON LAURIE M,Director,P,13,5.13,10.97,24.52,1.98
2018-12-31,MYJ,Blackrock Muniyield New Jersey Fund Inc,15.83,JAECKEL THEODORE R JR,Portfolio Manager,P,15,14.67,12.95,22.24,4.74
2018-12-31,MUJ,BlackRock MuniHoldings New Jersey Quality Fund Inc,15.53,JAECKEL THEODORE R JR,Portfolio Manager,S,15,-100.0,12.5,24.24,4.87
2018-12-31,EPM,Evolution Petroleum Corp,5.2,Ogilvie Marran H.,Director,P,5,22.77,6.81,-23.64,3.47
2018-12-31,CUE,Cue Biopharma Inc,14.83,MARLETT CHRISTOPHER A,Director,P,14,1.69,4.64,219.61,0.0
2018-12-31,ZTS,Zoetis Inc,226.43,Lagano Roxanne,Executive Vice President,S,226,-9.08,85.3,165.45,0.44
2018-12-31,IRDM,Iridium Communications Inc,39.98,Smith S. Scott,COO,S,39,-1.59,18.81,112.55,0.0
2018-12-31,CHMI,Cherry Hill Mortgage Investment Corp,8.93,Lown Jeffrey B,President,P,8,27.21,17.42,-48.74,12.08
2018-12-31,AAT,American Assets Trust Inc,37.77,RADY ERNEST S,"Chairman, CEO & President, 10% Owner",P,37,0.12,39.84,-5.2,2.93
2018-12-31,RNR,RenaissanceRe Holdings Ltd,163.66,Paradine Jonathan,"SVP, CUO - Singapore",S,163,-27.01,132.79,23.25,0.86
2018-12-31,USAU,U.S. Gold Corp,10.49,RECTOR DAVID,"COO, Corporate Secretary",P,10,2.39,0.84,1148.81,0.0
2018-12-31,EVER,EverQuote Inc,14.99,Abrams Zachary F,10% Owner,P,14,0.43,41796.0,-99.96,0.0
2018-12-31,PRVB,Provention Bio Inc,6.24,Leon Francisco,Chief Scientific Officer,P,6,0.39,1.64,280.49,0.0
2018-12-31,RMD,ResMed Inc,260.31,Sandercock Brett,CFO,S,260,-3.02,112.5,131.39,0.62
2018-12-31,BJ,BJ's Wholesale Club Holdings Inc,69.61,Saville Kirk,"SVP, Corporate Communications",S,69,-100.0,22.08,215.26,0.0
2018-12-31,AXR,Amrep Corp,13.7,ROBOTTI ROBERT,Director,S,13,-7.53,6.1,124.59,0.0
2018-12-31,RMNI,Rimini Street Inc,6.9,Shay Thomas C.,SVP Global Operations,S,6,-0.06,5.01,37.72,0.0
2018-12-31,UFCS,United Fire Group Inc,21.97,CONNER DAVID E,VP/Chief Claims Officer,S,21,-12.53,55.0,-60.05,2.73
2018-12-31,MDLM,Medley Management Inc,0.0081,"JACOBS ASSET MANAGEMENT, LLC",10% Owner,P,0,7.83,3.84,-99.79,0.0
2018-12-31,TAT,TransAtlantic Petroleum Ltd,0.24600000000000002,Fite Jonathon,Director,P,0,2.1,1.05,-76.57,0.0
