Exchange,Symbol,Company,Currency,Price,Insider Name,Insider Position,Date,Buy/Sell,Insider Trading Shares,Shares Change,Price,Cost(000),Final Share,Price Change Since Insider Trade (%),Dividend Yield %,PE Ratio,Market Cap ($M)
NAS,ALXN,Alexion Pharmaceuticals Inc,$,182.5,HANTSON LUDWIG,CEO,2018-12-31,S,3244,-2.11,95.85,310.937,150696,90.4,0,59.16,40336.009
NYSE,CSR,Centerspace,$,101.38,TWINEM MARY J,Director,2018-12-31,P,1025,124.09,48.43,49.6408,1851,109.33,2.76,At Loss,1447.760
NAS,AXAS,Abraxas Petroleum Corp,$,1.26,Clarke Tod A,Vice President - Land,2018-12-31,P,9028,7.08,1.06,9.56968,6826.45,18.87,0,At Loss,10.612
NYSE,CSR,Centerspace,$,101.38,Dance Michael T,Director,2018-12-31,P,1000,20.54,47.32,47.32,5869,114.24,2.76,At Loss,1447.760
NYSE,CSR,Centerspace,$,101.38,Dance Michael T,Director,2018-12-31,P,1000,20.54,47.32,47.32,5869,114.24,2.76,At Loss,1447.760
NYSE,KFS,Kingsway Financial Services Inc,$,5.45,STILWELL JOSEPH,"Director, 10% Owner",2018-12-31,P,563614,12.52,2.57,1448.49,5065016,112.06,0,At Loss,130.943
NAS,EVER,EverQuote Inc,$,14.99,Mason David W,General Counsel and Secretary,2018-12-31,S,6498,-3.72,4.23,27.4865,168290,254.37,0,At Loss,443.458
NAS,PGEN,Precigen Inc,$,3.76,Reed Thomas D.,Chief Science Officer,2018-12-31,S,30000,-29.21,6.36,190.8,72715,-40.88,0,At Loss,777.337
NAS,EVER,EverQuote Inc,$,14.99,Markette Shimrit,"SVP, People Operations",2018-12-31,S,1752,-2.15,4.3,7.5336,79776,248.6,0,At Loss,443.458
NYSE,SCD,Lmp Capital & Income Fund Inc,$,14.75,Murphy Terrence,CEO of Subadviser,2018-12-31,S,3029,-100,10.66,32.2891,0,38.37,7.04,3.05,264.253
OTCPK,PKTX,ProtoKinetix Inc,$,0.09,SMITH CLARENCE EDWARD,"President & CEO, 10% Owner",2018-12-31,P,1833333,2.87,0.06,110,65724858,50,0,At Loss,26.392
NYSE,HYB,New America High Income Fund Inc,$,9.76,TERRY ELLEN E,President,2018-12-31,P,2000,9.58,7.57,15.14,22868.5,28.93,6.13,5.97,228.080
NAS,GECC,Great Elm Capital Corp,$,3.47,"Mast Capital Management, LLC",10% Owner,2018-12-31,S,1625,-0.06,8.01,13.0162,2700455,-56.68,13.44,45.08,93.363
OTCPK,SODI,Solitron Devices Inc,$,10,Olesen Value Fund GP LLC,10% Owner,2018-12-31,P,40000,3.88,1.65,66,1071280,506.06,0,5.38,20.835
NAS,FLMN,Falcon Minerals Corp,$,5.24,HITE Hedge Asset Management LL,10% Owner,2018-12-31,P,1785053,0,7.36,13138,109121,-28.8,7.45,33.44,243.014
NAS,MIME,Mimecast Ltd,$,83.2,Bauer Peter,CEO,2018-12-31,S,2453,-0.06,34,83.402,4065876,144.71,0,126.06,5524.043
NYSE,SJM,JM Smucker Co,$,124.31,Lemmon David J,"President, Pet Food",2018-12-31,S,1017,-100,92.99,94.5708,0,33.68,3.04,17.48,13470.048
AMEX,MNIQQ,JCK Legacy Co,$,0.02506,"Chatham Asset Management, LLC",10% Owner,2018-12-31,P,-,0.94,8.12,81.2,1075182,-99.69,0,At Loss,0.170
NAS,FWBI,First Wave BioPharma Inc,$,1.99,Ross Edmund Burke Jr.,10% Owner,2018-12-31,P,139545,1.42,1.35,188.386,996540.4,47.41,0,At Loss,19.830
AMEX,CVM,CEL-SCI Corp,$,10.98,ZIMMERMAN DANIEL H,Sr. Vice President,2018-12-31,S,2474,-2.31,2.93,7.24882,104589,274.74,0,At Loss,472.449
NYSE,ISD,PGIM High Yield Fund Inc,$,16.26,Kellner Steven A.,Portfolio Manager,2018-12-31,P,1160,4.62,13.12,15.2192,26260,23.93,7.75,4.85,540.755
NYSE,EQGP,EQGP Holdings LP,$,19.97,Equitrans Midstream Corp,10% Owner,2018-12-31,P,15364421,5.57,20,307288,291373187,-0.15,5.62,At Loss,6040.340
NYSE,BGIO,BlackRock 2022 Global Income Opportunity,$,2.61,Rieder Richard M,Portfolio Manager,2018-12-31,P,8275,1.67,8.36,69.179,504949,-68.78,22.99,1.99,57.886
,RPT,RPT Realty,$,13.66,SHAHON LAURIE M,Director,2018-12-31,P,1000,5.13,10.97,10.97,20495,24.52,1.98,17.09,1151.397
NYSE,MYJ,Blackrock Muniyield New Jersey Fund Inc,$,15.83,JAECKEL THEODORE R JR,Portfolio Manager,2018-12-31,P,3442,14.67,12.95,44.5739,26902,22.24,4.74,12.98,381.890
NYSE,MUJ,BlackRock MuniHoldings New Jersey Quality Fund Inc,$,15.53,JAECKEL THEODORE R JR,Portfolio Manager,2018-12-31,S,3549,-100,12.5,44.3625,0,24.24,4.87,12.88,467.253
AMEX,EPM,Evolution Petroleum Corp,$,5.2,Ogilvie Marran H.,Director,2018-12-31,P,6800,22.77,6.81,46.308,36667,-23.64,3.47,At Loss,174.885
NAS,CUE,Cue Biopharma Inc,$,14.83,MARLETT CHRISTOPHER A,Director,2018-12-31,P,18521,1.69,4.64,85.9374,1116575,219.61,0,At Loss,471.014
NYSE,ZTS,Zoetis Inc,$,226.43,Lagano Roxanne,Executive Vice President,2018-12-31,S,2000,-9.08,85.3,170.6,20023,165.45,0.44,54.56,107129.880
NAS,IRDM,Iridium Communications Inc,$,39.98,Smith S. Scott,COO,2018-12-31,S,3500,-1.59,18.81,65.835,216467,112.55,0,At Loss,5285.452
NYSE,CHMI,Cherry Hill Mortgage Investment Corp,$,8.93,Lown Jeffrey B,President,2018-12-31,P,2000,27.21,17.42,34.84,9350,-48.74,12.08,31.89,159.900
NYSE,AAT,American Assets Trust Inc,$,37.77,RADY ERNEST S,"Chairman, CEO & President, 10% Owner",2018-12-31,P,10805,0.12,39.84,430.471,9028328,-5.2,2.93,96.84,2284.030
NYSE,RNR,RenaissanceRe Holdings Ltd,$,163.66,Paradine Jonathan,"SVP, CUO - Singapore",2018-12-31,S,20000,-27.01,132.79,2655.8,54051,23.25,0.86,At Loss,7531.614
NAS,USAU,U.S. Gold Corp,$,10.49,RECTOR DAVID,"COO, Corporate Secretary",2018-12-31,P,-,2.39,0.84,8.4,42800,1148.81,0,At Loss,74.380
NAS,EVER,EverQuote Inc,$,14.99,Abrams Zachary F,10% Owner,2018-12-31,P,-,0.43,41796,417960,2324876,-99.96,0,At Loss,443.458
NAS,PRVB,Provention Bio Inc,$,6.24,Leon Francisco,Chief Scientific Officer,2018-12-31,P,-,0.39,1.64,16.4,2547500,280.49,0,At Loss,395.459
NYSE,RMD,ResMed Inc,$,260.31,Sandercock Brett,CFO,2018-12-31,S,3000,-3.02,112.5,337.5,96390,131.39,0.62,76.32,37933.191
NYSE,BJ,BJ's Wholesale Club Holdings Inc,$,69.61,Saville Kirk,"SVP, Corporate Communications",2018-12-31,S,47220,-100,22.08,1042.62,0,215.26,0,23.07,9504.824
